102 32221,02,4,5,4,6,8,14,11,31,53,68,3.673
102 32221,03,9,1,4,4,4,10,17,33,65,143,3.837
102 32221,04,3,2,0,2,3,5,10,25,38,90,3.908
102 32221,05,1,0,1,0,7,8,11,19,30,44,3.807
102 32221,05,1,0,1,0,7,8,11,19,30,44,3.807
102 32221,06,0,0,0,2,0,2,2,5,12,3,3.715
102 32321,01,1,2,1,6,4,9,11,31,33,32,3.674
102 32321,01,1,2,1,6,4,9,11,31,33,32,3.674
102 32321,02,2,1,2,2,2,10,16,26,51,75,3.857
102 32321,02,2,1,2,2,2,10,16,26,51,75,3.857
102 32321,03,9,4,4,4,8,8,11,19,38,40,3.45
102 32321,03,9,4,4,4,8,8,11,19,38,40,3.45
102 32321,06,1,1,1,0,2,2,8,5,6,8,3.482
102 32421,,0,0,0,0,0,0,4,15,11,33,4.041
102 32421,,0,0,0,0,0,0,4,15,11,33,4.041
102E32621,,0,0,0,0,0,1,1,3,7,13,4.052
102E32621,,0,0,0,0,0,1,1,3,7,13,4.052
102 32831,,2,0,2,1,7,4,7,10,9,12,3.424
102 32831,,2,0,2,1,7,4,7,10,9,12,3.424
102 32841,,0,0,0,0,1,1,2,15,10,3,3.772
102 32841,,0,0,0,0,1,1,2,15,10,3,3.772
102 32851,,0,0,1,0,1,1,1,1,7,1,3.615
102 32851,,0,0,1,0,1,1,1,1,7,1,3.615
102 32871,,0,0,0,1,0,4,3,0,6,13,3.856
102 32871,,0,0,0,1,0,4,3,0,6,13,3.856
102 33990,,3,1,2,3,5,10,10,23,37,39,3.683
102 34410,,0,0,0,0,0,0,0,3,3,2,3.963
102 35200,,2,0,0,0,0,0,3,5,13,4,3.615
102 39900,,0,0,0,0,3,8,7,18,33,8,3.743
102 39900,,0,0,0,0,3,8,7,18,33,8,3.743
102 42131,,3,0,0,1,4,11,12,32,32,33,3.703
102 42131,,3,0,0,1,4,11,12,32,32,33,3.703
102 42231,01,1,7,3,5,12,12,19,27,28,72,3.667
102 42231,01,1,7,3,5,12,12,19,27,28,72,3.667
102 42231,02,6,3,5,5,12,15,20,40,48,64,3.602
102 42231,03,2,2,1,2,3,10,5,9,1,3,3.021
102 42331,01,0,4,0,3,2,6,6,20,47,32,3.804
102 42331,01,0,4,0,3,2,6,6,20,47,32,3.804
102 42331,02,0,2,0,3,2,6,3,27,26,29,3.798
102 42350,,1,0,0,0,0,2,4,9,33,13,3.877
102 42370,01,0,0,0,0,0,0,0,4,8,15,4.122
102 42431,,0,0,0,0,0,0,0,1,3,18,4.232
102 42431,,0,0,0,0,0,0,0,1,3,18,4.232
102 42541,01,2,2,1,0,4,4,5,13,14,15,3.555
102 42541,01,2,2,1,0,4,4,5,13,14,15,3.555
102 42541,02,1,1,2,0,3,2,1,11,5,3,3.334
102 42551,,0,0,1,0,0,0,0,2,6,19,4.111
102 42551,,0,0,1,0,0,0,0,2,6,19,4.111
102 43030,,0,0,1,0,4,7,6,12,8,6,3.541
102 43040,,2,2,3,4,9,21,23,38,31,12,3.434
102 43980,,5,6,9,3,6,28,39,70,85,81,3.648
102 44210,01,4,7,6,8,12,25,30,29,42,13,3.295
102 44210,02,6,9,7,3,11,11,29,68,48,28,3.448
102 46001,,0,1,0,0,1,0,4,17,20,11,3.848
102 46001,,0,1,0,0,1,0,4,17,20,11,3.848
102 46101,,0,0,0,0,0,0,0,0,10,83,4.268
102 46101,,0,0,0,0,0,0,0,0,10,83,4.268
102 48050,,1,2,6,0,3,5,23,50,27,21,3.607
